INDEX,Date,MAX,MIN,AW,RF,SSH
42971,01-01-1975,28,15.4,7,0,7.6
42971,02-01-1975,28,15.8,5,0,6.8
42971,03-01-1975,28.5,15,9,0,5.7
42971,04-01-1975,27.6,18.5,12,0,7.1
42971,05-01-1975,26.4,15.6,13,0,10.2
42971,06-01-1975,25.6,12.6,13,0,9.8
42971,07-01-1975,26.2,12,9,0,10.1
42971,08-01-1975,26.6,12,9,0,10.8
42971,09-01-1975,27.4,12.4,9,0,10.6
42971,10-01-1975,28.1,13.2,9,0,11
42971,11-01-1975,29.4,13.5,5,0,6.6
42971,12-01-1975,29,15.5,8,0,6.5
42971,13-01-1975,28.5,16.6,9,0,10.3
42971,14-01-1975,27.6,14.4,10,0,10.4
42971,15-01-1975,26,11.6,5,0,9.8
42971,16-01-1975,26.4,11.5,6,0,9.7
42971,17-01-1975,27.5,12.6,7,0,11.2
42971,18-01-1975,29,13.3,7,0,11
42971,19-01-1975,29,15.5,6,0,10.6
42971,20-01-1975,27.6,15.2,5,0,9.8
42971,21-01-1975,27.5,15.2,5,0,8.7
42971,22-01-1975,28.2,14.6,9,0,7.6
42971,23-01-1975,28.6,15.2,6,0,8.5
42971,24-01-1975,28,18.6,6,0,7.2
42971,25-01-1975,28.4,18,10,0.2,7.6
42971,26-01-1975,29.6,20,13,0,9.5
42971,27-01-1975,26.6,16.6,11,0,10.5
42971,28-01-1975,28,15,9,0,9.8
42971,29-01-1975,28.5,13.4,7,0,9.1
42971,30-01-1975,28.6,13,9,0,5.9
42971,31-01-1975,28.8,15.1,8,0,
42971,01-02-1975,29,15.4,6,0,10
42971,02-02-1975,28.1,18.4,11,0,8.2
42971,03-02-1975,29.6,18.6,8,0,7.7
42971,04-02-1975,28.6,19.1,9,0,5.4
42971,05-02-1975,30,20.4,8,14.8,2.5
42971,06-02-1975,27.1,19.4,12,0,6.9
42971,07-02-1975,30.5,19.3,8,0,10.1
42971,08-02-1975,33.4,21.6,7,0,8.1
42971,09-02-1975,31.2,20.6,8,0,7.8
42971,10-02-1975,32.4,19.4,10,0,8.5
42971,11-02-1975,31.9,21.3,13,0,7.4
42971,12-02-1975,30.8,19.4,19,21,9.4
42971,13-02-1975,30,18.4,7,0,8.5
42971,14-02-1975,31,19.5,8,0,9.3
42971,15-02-1975,30.6,22,21,0,5.2
42971,16-02-1975,32.6,22,15,0,1.7
42971,17-02-1975,28.6,21.6,9,0,5.4
42971,18-02-1975,30,19.2,9,0.4,9.8
42971,19-02-1975,29.6,17.6,10,0,10.5
42971,20-02-1975,29.6,15.8,8,0,11
42971,21-02-1975,30,15.1,7,0,10.6
42971,22-02-1975,32,17.8,7,0,9.3
42971,23-02-1975,32,19.6,13,0,9.3
42971,24-02-1975,31.5,18,11,0,10.1
42971,25-02-1975,30.2,17.6,7,0,10.8
42971,26-02-1975,32,19.8,7,0,6.5
42971,27-02-1975,31.8,18.4,7,0,10.9
42971,28-02-1975,33.5,18.9,12,0,10.7
42971,01-03-1975,34.5,19,5,0,9.4
42971,02-03-1975,35.4,21.2,16,0,7.3
42971,03-03-1975,36.2,21.4,14,0,9.2
42971,04-03-1975,35.8,20.4,9,0,7.4
42971,05-03-1975,36,23.4,15,0,8.2
42971,06-03-1975,37,21,20,0,9.3
42971,07-03-1975,37.6,22,12,0,8.6
42971,08-03-1975,34.5,22.5,12,0,7.6
42971,09-03-1975,33.4,24.2,16,0,5.1
42971,10-03-1975,33.5,20,7,0,9.4
42971,11-03-1975,34,21.4,11,0,9.5
42971,12-03-1975,34.5,24.2,14,0,10
42971,13-03-1975,34.8,24,9,0,8.8
42971,14-03-1975,36.2,23.5,11,0,9.5
42971,15-03-1975,36,24,13,0,9
42971,16-03-1975,37,24.5,12,0,7.5
42971,17-03-1975,35.6,25,8,2,5.2
42971,18-03-1975,33.5,20.9,16,5.2,8.7
42971,19-03-1975,32.8,23,11,2.3,6.7
42971,20-03-1975,33.4,24,8,1.6,5.1
42971,21-03-1975,33.2,21,13,0,8.6
42971,22-03-1975,36.5,24.4,16,0,6.8
42971,23-03-1975,36.4,25,16,0,7.7
42971,24-03-1975,36.4,24.6,18,0,5.4
42971,25-03-1975,34,22.8,12,0,7
42971,26-03-1975,33.6,23,12,0,9.1
42971,27-03-1975,32,22.4,10,0,9.1
42971,28-03-1975,33.4,22.8,9,0,9.2
42971,29-03-1975,34.8,22.2,4,0,9.1
42971,30-03-1975,36.5,21.6,11,0,9.7
42971,31-03-1975,37,22.8,13,0,9
42971,01-04-1975,38,23.5,15,0,9.2
42971,02-04-1975,37.8,23.4,16,0,9.4
42971,03-04-1975,38.6,23,19,0,9.6
42971,04-04-1975,36.4,24.2,29,0,9.5
42971,05-04-1975,35.6,25.4,29,0,8.7
42971,06-04-1975,36.2,26,19,0,8
42971,07-04-1975,37.2,25.2,38,0,8
42971,08-04-1975,37.3,25.4,23,0,5.3
42971,09-04-1975,35.8,25,37,0,7.3
42971,10-04-1975,36.8,25,32,0,7.5
42971,11-04-1975,36.5,24.6,30,0,7.4
42971,12-04-1975,36.2,26.2,30,0,7.7
42971,13-04-1975,35.4,26,37,0,5.9
42971,14-04-1975,36,22,38,13.6,6.3
42971,15-04-1975,34.5,25.3,46,0,7.2
42971,16-04-1975,34.4,23.6,25,1,7.6
42971,17-04-1975,35.5,25.6,52,0,9.4
42971,18-04-1975,39,25.8,20,0,10.8
42971,19-04-1975,36.4,26.5,24,0,8.9
42971,20-04-1975,34.6,26.4,25,0,7.4
42971,21-04-1975,34.4,26.6,28,0,8.7
